Pergunta,Solucoes,PrecoEstimado,Categoria
"Meu carro não está pegando","Quando você gira a chave, o que acontece? O motor gira ou não faz nada?",0,Diagnóstico
"Ele gira mas não pega","O carro está fazendo algum barulho diferente quando tenta dar partida?",0,Diagnóstico
"Sim, parece que está meio fraco o barulho","As luzes do painel acendem normalmente quando você liga a chave?",0,Diagnóstico
"Sim, as luzes acendem normal","Há quanto tempo você está percebendo esse problema?",0,Diagnóstico
"Começou essa semana","Você chegou a verificar a bateria ou deixou o carro parado por muito tempo?",0,Diagnóstico
"A bateria está boa, testei ontem","Pelo comportamento descrito, pode ser problema no motor de arranque ou no sistema de alimentação de combustível. Vamos fazer um diagnóstico completo.",600,Motor

"O carro não pega de primeira","Precisa tentar várias vezes até pegar?",0,Diagnóstico
"Sim, às vezes demora uns 3 minutos","Quando pega, o carro funciona normalmente ou continua falhando?",0,Diagnóstico
"Depois que pega funciona normal","Você percebe se tem cheiro de gasolina forte quando tenta dar partida?",0,Diagnóstico
"Não sinto cheiro de gasolina","Provável problema na bomba de combustível ou no sistema de partida a frio. Necessário verificar pressão da bomba e bicos injetores.",800,Motor

"Carro não pega pela manhã","Ele não pega apenas pela manhã ou em outros momentos também?",0,Diagnóstico
"Só de manhã quando está frio","Quando você gira a chave, o motor gira normalmente?",0,Diagnóstico
"Gira normal, mas demora pra pegar","Você ouve o barulho da bomba de combustível quando liga a chave?",0,Diagnóstico
"Sim, ouço a bomba ligando","Problema no sistema de partida a frio. Necessário verificar bicos injetores e sensor de temperatura.",450,Motor

"O carro morreu e não pegou mais","O carro morreu de repente enquanto estava andando?",0,Diagnóstico
"Sim, apagou tudo de repente","As luzes do painel chegaram a piscar antes de morrer?",0,Diagnóstico
"Sim, piscou tudo no painel","Você tentou dar partida depois? O que aconteceu?",0,Diagnóstico
"Tentei mas não faz nada","Problema no sistema elétrico. Pode ser alternador ou problema nas conexões da bateria. Necessário diagnóstico completo do sistema elétrico.",900,Elétrica

"Carro está demorando pra pegar","Você percebe se o problema é pior quando o motor está quente ou frio?",0,Diagnóstico
"É pior quando está quente","Quando foi a última vez que fez manutenção nas velas?",0,Diagnóstico
"Faz mais de 2 anos","O carro apresenta alguma oscilação na marcha lenta?",0,Diagnóstico
"Sim, às vezes fica oscilando","Necessário fazer troca das velas, verificar bobinas e cabos de ignição. A dificuldade de partida está relacionada ao desgaste desses componentes.",550,Motor

"O carro não pega após abastecer","Isso começou depois de qual abastecimento?",0,Diagnóstico
